"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","2.372232","0.000000","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","2.431141","0.058909","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.969287","3.538146","30","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.971882","0.002595","162","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"EAPOL","5.981065","0.009183","131","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"EAPOL","5.983145","0.002080","155","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"EAPOL","5.988266","0.005121","131","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.022045","0.033779","26","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.035356","0.013311","26","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.041483","0.006127","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.045581","0.004098","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.049164","0.003583","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.056359","0.007195","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.061963","0.005604","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.061963","0.000000","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.061965","0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.061991","0.000026","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.064014","0.002023","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.068107","0.004093","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.069645","0.001538","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.074763","0.005118","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.076810","0.002047","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.082957","0.006147","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.085005","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.088076","0.003071","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.088078","0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.090122","0.002044","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.090123","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
